192.168.1.9 - - [10/Jul/2020:08:38:45 -0300] "POST /WebServlet/svProdutos HTTP/1.1" 200 91
0:0:0:0:0:0:0:1 - - [10/Jul/2020:08:38:45 -0300] "GET /WebServlet/svEmpresa?cnpj=23.114.360/0001-10 HTTP/1.1" 200 15773
192.168.1.9 - - [10/Jul/2020:08:38:45 -0300] "GET /WebServlet/svProdutos?codigo=3 HTTP/1.1" 200 56889
192.168.1.9 - - [10/Jul/2020:08:38:45 -0300] "GET /WebServlet/socket?user=30.188.441/0001-20 HTTP/1.1" 101 -
192.168.1.9 - - [10/Jul/2020:08:38:55 -0300] "POST /WebServlet/svMensagem HTTP/1.1" 200 16
192.168.1.9 - - [10/Jul/2020:08:38:55 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 16
192.168.1.9 - - [10/Jul/2020:08:38:55 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 141
192.168.1.9 - - [10/Jul/2020:08:38:55 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 207
192.168.1.9 - - [10/Jul/2020:08:38:55 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 177
192.168.1.9 - - [10/Jul/2020:08:38:55 -0300] "GET /WebServlet/socket?user=30.188.441/0001-20 HTTP/1.1" 101 -
192.168.1.9 - - [10/Jul/2020:08:38:55 -0300] "GET /WebServlet/svEmpresa?cnpj=23.114.360/0001-10 HTTP/1.1" 200 15773
192.168.1.9 - - [10/Jul/2020:08:38:55 -0300] "GET /WebServlet/svEmpresa?cnpj=71.191.982/0001-94 HTTP/1.1" 200 15773
127.0.0.1 - - [10/Jul/2020:08:38:58 -0300] "GET /WebServlet/socket?user=SISTEMA/ HTTP/1.1" 101 -
192.168.1.9 - - [10/Jul/2020:08:38:58 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 11
192.168.1.9 - - [10/Jul/2020:08:38:58 -0300] "POST /WebServlet/svMensagem HTTP/1.1" 200 16
192.168.1.9 - - [10/Jul/2020:08:38:58 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 15
192.168.1.9 - - [10/Jul/2020:08:38:58 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 71
192.168.1.9 - - [10/Jul/2020:08:38:58 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 177
192.168.1.9 - - [10/Jul/2020:08:38:58 -0300] "GET /WebServlet/socket?user=30.188.441/0001-20 HTTP/1.1" 101 -
192.168.1.9 - - [10/Jul/2020:08:38:58 -0300] "GET /WebServlet/svEmpresa?cnpj=23.114.360/0001-10 HTTP/1.1" 200 15773
192.168.1.9 - - [10/Jul/2020:08:39:00 -0300] "POST /WebServlet/svMensagem HTTP/1.1" 200 16
192.168.1.9 - - [10/Jul/2020:08:39:00 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 15
192.168.1.9 - - [10/Jul/2020:08:39:00 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 177
192.168.1.9 - - [10/Jul/2020:08:39:00 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 69
192.168.1.9 - - [10/Jul/2020:08:39:00 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 100
192.168.1.9 - - [10/Jul/2020:08:39:00 -0300] "POST /WebServlet/svProdutos HTTP/1.1" 200 91
0:0:0:0:0:0:0:1 - - [10/Jul/2020:08:39:00 -0300] "GET /WebServlet/svEmpresa?cnpj=23.114.360/0001-10 HTTP/1.1" 200 15773
192.168.1.9 - - [10/Jul/2020:08:39:00 -0300] "GET /WebServlet/svProdutos?codigo=3 HTTP/1.1" 200 56889
192.168.1.9 - - [10/Jul/2020:08:39:00 -0300] "GET /WebServlet/socket?user=30.188.441/0001-20 HTTP/1.1" 101 -
192.168.1.9 - - [10/Jul/2020:08:39:01 -0300] "GET /WebServlet/socket?user=30.188.441/0001-20 HTTP/1.1" 101 -
192.168.1.9 - - [10/Jul/2020:08:39:07 -0300] "POST /WebServlet/svMensagem HTTP/1.1" 200 16
192.168.1.9 - - [10/Jul/2020:08:39:07 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 15
192.168.1.9 - - [10/Jul/2020:08:39:07 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 91
192.168.1.9 - - [10/Jul/2020:08:39:07 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 207
192.168.1.9 - - [10/Jul/2020:08:39:08 -0300] "GET /WebServlet/svEmpresa?cnpj=71.191.982/0001-94 HTTP/1.1" 200 15773
192.168.1.9 - - [10/Jul/2020:08:39:08 -0300] "GET /WebServlet/socket?user=30.188.441/0001-20 HTTP/1.1" 101 -
192.168.1.9 - - [10/Jul/2020:08:39:10 -0300] "POST /WebServlet/svMensagem HTTP/1.1" 200 16
