192.168.1.6 - - [18/Jun/2020:09:00:28 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:00:28 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:09:00:28 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:00:28 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:00:28 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:09:00:28 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:00:29 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:00:29 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:09:00:29 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:00:57 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:00:57 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:09:00:57 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:01:37 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:01:37 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:09:01:37 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:02:31 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:02:31 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:09:02:31 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:03:17 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:03:17 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:09:03:17 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:04:04 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:04:04 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
