0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:10:28 -0300] "POST /eRelation/servlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:10:30 -0300] "GET /eRelation/solicitacoes.jsp HTTP/1.1" 200 3694
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:10:30 -0300] "GET /eRelation/js/jquery.js HTTP/1.1" 200 282113
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:10:30 -0300] "GET /eRelation/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:10:30 -0300] "GET /eRelation/css/style.css HTTP/1.1" 200 29821
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:10:30 -0300] "GET /eRelation/js/script.js HTTP/1.1" 200 3335
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:10:30 -0300] "GET /eRelation/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:10:30 -0300] "GET /eRelation/icons/logo.png HTTP/1.1" 200 10462
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:10:30 -0300] "POST /eRelation/servlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:10:30 -0300] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:10:48 -0300] "GET /eRelation/solicitacoes.jsp HTTP/1.1" 200 3697
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:10:48 -0300] "POST /eRelation/servlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:11:15 -0300] "GET /eRelation/solicitacoes.jsp HTTP/1.1" 200 3701
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:11:15 -0300] "POST /eRelation/servlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:11:18 -0300] "GET /eRelation/solicitacoes.jsp HTTP/1.1" 200 3701
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:11:18 -0300] "GET /eRelation/js/jquery.js HTTP/1.1" 200 282113
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:11:18 -0300] "GET /eRelation/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:11:18 -0300] "GET /eRelation/js/bootstrap.min.js HTTP/1.1" 200 58072
